Bekerules	Leiras	Ar	Kerulet	Iroda	Jelleg	Alapterulet
2007.03.31	Kígyó u. / 18 m2 automata kapukkal felszerelt garázs	1600000	3	1	garázs	18
2007.03.08	Józsa, Rákóczi kert 1067. / 35 m2 1 sz. Cserépkályha fûtés, átlagos, hidroforos ház 753 nö telekkel	5900000	4	4	ház	35
2007.03.25	Baross u. / 44 m2 1,5 szobás téglaépítésû gázkonvektoros, pincerekeszes, zárt udvarra autóbeállási lehetõség	7700000	2	2	ház	44
2007.03.16	Simonffy u. / utcafronti házrész 44 m2 2 szobás gázfûtéses  jóállapotú alápincézett, garázsépítési lehetõséggel eladó	9200000	3	1	ház	44
2007.04.01	Káka u. /  45 m2, 1 szoba, nagykonyha, elõszoba, fürdõszoba, spájz, tégla-gázkonvektor, garázsos ház 250 m2 telken eladó	12800000	3	0	ház	45
2007.04.16	Hadházi u. / 55 m2-es 2 szobás konvektoros lakás, erkéllyel, akár bútorozva  eladó	9600000	2	1	ház	55
2007.05.13	Serház u. / 60 m2, 2 + 1 szoba, gázkonvektor, felújítandó, erkély	11900000	2	4	ház	60
2007.05.03	Balaton u. / 60 m2 2 szoba. Étkezõkonyhás, konvektoros, 2006-ban felújítva, 551 m2 telekkel, saroktelek, bõvíthetõ	18700000	2	3	ház	60
2007.04.15	Kökörcsin u. / 75 m2 2 + 1 szobás gázfûtéses felújítandó ház 213 négyszögöl telken garázzsal, mellék épülettel	14600000	2	2	ház	75
2007.05.14	Elõkert u. / 80 m2 2 szoba + étkezõ elõtér+konyha 800 m2 telken, gáz + vegyestüzelésû, összközmûves, ház eladó  	14400000	2	3	ház	80
2007.03.30	Pilinszky u. / 80 m2, 2 + 2 szoba, panel-gáz szép, 170 m2 telek, garázs, terasz, mûanyag nyílászáró	24400000	2	4	ház	80
2007.02.19	Cser u. / 90 m2 + 60 m2 melléképület benne garázs, 3 sz. + nappali, központi gáz, régi építésû, felújított 1000 m2 telekkel	27600000	1	4	ház	90
2007.02.21	Perem u. / 90 m2 3 szoba + étkezõkonyhás ház gáz etázs fûtésû 1993-ban épült 1108 m2-es telken ipari árammal pincével, garázzsal eladó	25800000	3	3	ház	90
